식품명,조리상태,에너지(kcal),탄수화물(g),단백질(g),지방(g),당류(g)
푸딩,우유에 섞은것,114,19.7,2.7,2.9,18.03
강낭콩,생것,172,32.38,8.8,0.86,0.0
강낭콩,삶은것,170,31.9,8.46,0.9,0.0
강낭콩,말린것,350,63.9,21.2,1.1,0.0
녹두,말린것,352,60.15,24.51,1.52,0.0
녹두,삶은것,158,26.66,11.29,0.67,0.0
녹두 빈대떡,가루,347,63.4,20.7,1.2,0.0
녹두 빈대떡가루,반죽,98,17.0,6.2,0.6,0.0
녹두 국수,말린것,344,87.5,0.2,0.4,0.0
녹두묵,-,40,9.81,0.12,0.03,0.02
대두,말린것,413,30.45,38.68,15.86,6.45
대두,삶은것,196,11.39,19.02,8.75,6.95
대두,볶은것,436,31.27,41.72,16.72,6.73
대두,콩가루,427,32.3,37.0,20.9,0.0
두부,-,97,3.75,9.62,4.63,0.0
두부,동결건조,496,4.2,50.5,34.1,0.0
두부,순두부,44,0.69,6.85,1.35,0.6
두부,연두부,50,1.93,4.66,2.51,0.74
두부,유부,450,7.93,26.11,34.23,0.42
비지,-,74,11.7,3.5,1.5,0.0
두유,대두,62,3.42,3.01,3.92,3.02
두유,검은콩,86,9.87,3.21,3.77,4.71
두유,검은참깨,77,8.76,3.4,3.15,4.54
두유,소금 0.3%,57,3.74,4.84,2.57,0.91
콩조림,-,271,39.1,19.3,4.2,0.0
동부,생것,166,29.34,9.51,1.02,0.21
동부,삶은것,138,24.46,8.11,0.77,0.14
동부,말린것,343,60.56,19.61,2.1,0.44
리마콩,말린것,306,60.8,21.9,1.8,1.2
렌즈콩,말린것,359,65.42,21.01,1.43,1.3
밤콩,말린것,410,30.6,35.0,17.2,0.0
병아리콩,말린것,373,63.14,17.27,5.66,0.0
완두,생것,114,19.51,7.92,0.44,0.0
완두,삶은것,122,20.78,7.27,1.1,0.0
완두,말린것,363,67.1,20.7,1.3,0.0
작두,생것,125,21.5,9.0,0.3,0.0
작두,말린것,344,57.4,26.3,1.0,0.0
잠두,생것,341,58.29,26.12,1.53,5.7
잠두,삶은것,110,19.65,7.6,0.4,1.82
쥐눈이콩,말린것,403,30.59,37.32,14.61,5.58
쥐눈이콩,삶은것,184,12.71,17.99,6.79,1.55
쥐눈이콩,볶은것,447,31.73,42.31,16.71,5.56
팥,말린것,330,58.72,20.63,0.96,0.43
팥,삶은것,156,27.15,9.49,0.86,0.28
팥,페이스트,147,27.1,9.8,0.6,0.0
팥,팥빙수용 단팥,206,45.63,4.51,0.22,36.53
개암,말린것,628,16.7,14.95,60.75,4.34
개암,볶은것,646,17.6,15.03,62.4,4.89
도토리,생것,230,46.7,4.4,3.0,0.0
도토리,가루,354,83.7,1.1,1.1,0.0
도토리,졸참도토리,342,79.2,4.6,0.5,0.0
도토리,종가시도토리,348,79.5,3.3,1.6,0.0
도토리,말린것,343,72.2,12.4,0.7,0.0
도토리묵,-,47,11.23,0.33,0.11,0.0
도토리묵,가루,366,87.09,1.7,1.23,0.01
들깨,말린것,530,29.26,22.68,39.74,1.46
들깨,볶은것,530,35.53,23.59,36.23,1.48
땅콩,말린것,520,18.36,25.74,42.57,4.4
땅콩,소금첨가,318,21.26,13.5,22.01,2.47
땅콩,볶은것,567,19.91,28.5,46.24,5.18
땅콩,가루,560,24.62,28.43,43.11,6.26
때죽,말린것,551,31.8,13.6,44.7,0.0
마름,생것,183,40.6,5.8,0.5,1.6
머루씨,생것,282,54.0,6.3,4.8,0.0
목화씨,구운것,506,21.9,32.59,36.29,0.0
밤,생것,151,33.39,3.28,0.5,4.95
밤,삶은것,154,33.95,3.45,0.51,6.06
밤,구운것,206,45.36,4.65,0.68,7.75
밤,말린것,377,78.6,6.7,4.1,0.0
밤,레토르트,199,42.81,4.48,1.1,7.63
밤,통조림,225,55.2,1.1,0.0,0.0
브라질너트,말린것,659,11.74,14.32,67.1,2.33
삼씨,말린것,450,31.7,29.9,28.3,2.3
수박씨,말린것,451,47.2,19.3,22.9,0.0
수박씨,볶은것,528,13.4,29.6,46.4,2.0
아마씨,볶은것,540,30.4,21.8,43.3,0.9
아몬드,말린것,581,20.09,23.44,49.96,6.82
아몬드,볶은것,594,20.49,23.45,51.29,3.91
은행,생것,203,42.78,4.69,1.53,2.95
은행,삶은것,186,38.25,4.31,1.86,1.91
은행,볶은것,221,45.76,5.0,2.05,3.33
잣,생것,630,19.38,15.96,59.28,1.33
잣,볶은것,708,4.7,17.6,75.0,0.0
잣,말린것,640,17.6,15.4,61.5,0.0
잣두부,-,78,4.0,7.5,4.3,0.0
잣죽,-,64,7.9,1.45,3.06,0.12
참깨,말린것,549,26.45,20.85,44.12,0.0
참깨,볶은것,539,27.42,21.28,42.3,0.0
참깨 과자,엿강정,538,45.4,15.0,32.9,0.0
참깨죽,-,38,5.9,1.0,1.2,0.0
치아씨,말린것,486,42.12,16.54,30.74,0.0
캐슈넛,볶은것,581,30.16,16.84,47.77,5.01
코코넛,말린것,660,23.65,6.88,64.53,7.35
코코넛,볶은것,592,44.4,5.3,47.0,0.0
코코넛,코코넛밀크,230,5.54,2.29,23.84,3.34
코코넛수,-,19,3.71,0.72,0.2,2.61
피스타치오,말린것,560,27.17,20.16,45.32,7.66
피스타치오,볶은것,584,20.82,25.99,48.89,8.15
피칸,말린것,691,13.86,9.17,71.97,3.97
피칸,볶은것,710,13.55,9.5,74.27,4.06
해바라기씨,말린것,589,18.58,21.93,52.26,2.68
해바라기씨,볶은것,582,24.07,19.33,49.8,2.73
호두,말린것,688,7.92,15.47,71.99,0.0
호두,볶은것,713,11.7,14.6,68.8,2.5
호박씨,말린것,548,5.34,35.35,48.18,0.0
가시오갈피,생것,76,15.87,5.67,0.7,2.48
가시오갈피,데친것,63,11.99,5.25,0.85,2.07
가지,생것,19,4.36,1.13,0.03,2.32
가지,데친것,19,4.4,1.0,0.1,1.94
가지,말린것,290,65.59,14.53,2.4,18.13
가지,염절임,22,5.2,1.4,0.1,0.0
갓,생것,36,7.3,3.5,0.2,0.0
개비름,생것,23,3.96,2.72,0.29,0.31
개비름,데친것,27,4.51,2.98,0.41,0.27
갯기름나물,생것,47,9.67,3.71,0.41,0.0
갯기름나물,데친것,49,9.39,3.86,0.71,0.0
갯나물,생것,18,3.59,1.61,0.14,0.0
갯나물,데친것,23,4.2,2.29,0.28,0.0
갯나물,환,262,52.6,9.28,6.14,0.94
게걸무,생것,59,13.6,2.3,0.1,0.0
겨자,생것,24,4.19,3.03,0.17,0.0
경수채,생것,26,5.57,1.68,0.24,2.1
고구마,데친것,41,5.8,3.44,0.62,0.0
고구마,삶은것,14,2.88,0.45,0.05,0.0
고들빼기,생것,29,5.8,1.6,0.5,0.0
고려엉겅퀴,생것,32,3.29,3.47,1.38,0.35
고려엉겅퀴,말린것,275,53.9,20.5,3.9,0.0
고비,생것,28,6.41,1.72,0.13,2.09
고비,삶은것,25,5.43,1.58,0.16,0.0
고비,삶아서 말린것,299,67.51,17.95,1.7,7.61
고사리,생것,22,3.8,2.9,0.17,0.2
고사리,데친것,21,3.55,2.74,0.24,0.43
고사리,말린것,261,54.2,25.8,0.6,0.0
고사리,삶아서 말린것,273,56.58,27.85,2.11,0.0
고수,생것,33,5.6,4.6,0.2,0.0
고추,생것,21,3.8,2.6,0.1,0.0
고추,말린것,312,57.47,13.88,8.71,0.0
고추장아찌,-,124,31.49,2.39,0.63,11.38
고춧잎,생것,45,8.49,5.07,0.32,0.0
고춧잎,데친것,51,8.9,5.16,0.85,0.0
고춧잎,말린것,266,37.8,35.43,5.3,0.0
고춧잎,삶은것,41,6.66,4.41,0.76,0.0
고추냉이,생것,103,23.7,2.9,0.5,0.0
곤달비,생것,42,9.4,1.8,0.5,0.0
곤달비,데친것,35,7.4,1.8,0.5,0.0
꾸지뽕,생것,85,19.18,5.06,0.51,3.07
꾸지뽕,삶은것,61,13.15,3.93,0.51,0.98
꾸지뽕,말린것,282,63.3,18.25,1.4,12.44
구기자,생것,50,7.05,6.27,1.08,0.78
국화꽃,생것,25,6.5,1.4,0.0,0.0
국화꽃,데친것,21,5.7,1.0,0.0,0.0
국화꽃,말린것,283,73.5,11.6,0.2,0.0
근대,생것,18,3.28,1.78,0.2,0.0
근대,데친것,20,3.95,1.79,0.2,0.0
김치,갓김치,37,7.07,3.26,0.4,2.46
김치,고들빼기,88,11.9,4.1,2.7,0.0
김치,깍두기,38,7.54,1.43,0.19,3.55
김치,나박 김치,7,1.27,0.34,0.07,0.29
김치,동치미,8,1.77,0.33,0.01,0.62
김치,배추 김치,38,6.24,1.97,0.57,2.87
김치,봄 재배,39,5.95,2.22,0.67,2.38
김치,여름 재배,38,6.56,1.84,0.49,3.22
김치,가을 재배,37,6.1,1.85,0.54,3.05
김치,백김치,16,3.0,0.95,0.07,1.04
김치,열무 김치,32,4.99,2.4,0.29,0.48
김치,열무 물김치,18,2.91,1.41,0.07,1.68
김치,오이 소박이,37,6.66,1.76,0.37,3.17
김치,유채 김치,62,10.1,3.5,0.8,0.0
김치,유채 물김치,17,3.0,1.0,0.1,0.0
김치,총각 김치,41,7.89,2.02,0.2,2.68
김치,파 김치,49,8.51,2.5,0.58,2.8
김치,얼갈이배추 김치,30,4.37,1.88,0.58,1.15
꽃양배추,생것,27,4.84,2.17,0.48,2.28
꽃양배추,데친것,26,4.62,2.4,0.47,2.42
꿀풀,생것,48,11.9,1.6,0.2,0.0
꿀풀,말린것,309,71.6,8.2,4.0,0.0
날개콩,생것,36,6.5,1.9,0.2,0.0
냉이,생것,41,8.06,4.23,0.27,1.28
냉이,데친것,49,9.19,5.09,0.5,0.0
누리장나무잎,생것,65,12.7,4.5,1.0,0.0
는쟁이냉이,생것,28,5.4,2.5,0.3,0.0
달래,생것,28,6.1,1.9,0.22,1.46
