식품명,조리상태,에너지(kcal),탄수화물(g),단백질(g),지방(g),당류(g)
당귀,생것,43,8.8,3.2,0.4,0.0
당근,생것,31,7.03,1.02,0.13,6.23
당근,데친것,31,7.01,0.97,0.13,2.39
당근 주스,-,38,10.03,0.44,0.09,6.87
당근 주스,캔,40,9.28,0.95,0.15,3.91
대나무순,생것,24,3.77,3.48,0.22,1.11
대나무순,데친것,30,5.5,3.2,0.3,0.0
대나무순,삶은것,19,3.12,2.29,0.28,0.41
대나무순,삶아서 말린것,314,57.62,28.31,4.69,2.27
더덕,생것,89,21.52,1.91,0.13,5.01
더덕,가루,339,78.4,11.19,0.77,15.09
도라지,생것,56,13.08,1.7,0.11,1.15
도라지,데친것,49,11.35,1.48,0.14,0.75
도라지,말린것,324,74.59,10.67,0.89,3.4
도라지,가루,339,76.64,12.53,1.12,12.27
돌나물,생것,15,3.23,1.19,0.08,0.0
동아,생것,15,3.8,0.5,0.1,0.0
동아,데친것,15,3.7,0.6,0.1,0.0
두릅,생것,25,4.79,2.4,0.22,0.81
두릅,데친것,24,4.56,2.3,0.25,1.08
둥굴레,생것,52,11.7,3.4,0.2,0.0
둥굴레,말린것,289,67.7,16.5,0.9,0.0
들깨,생것,17,2.5,1.7,0.1,0.0
들깻잎,생것,47,8.89,4.46,0.5,0.0
들깻잎,데친것,32,4.8,3.93,0.6,0.0
들깻잎,찐것,37,6.07,4.37,0.55,0.0
들깻잎장아찌,-,124,26.0,4.03,0.42,16.41
들깻잎장아찌,통조림,76,10.4,4.7,1.7,0.0
루꼴라,생것,26,4.2,3.17,0.43,0.97
리크,생것,54,13.2,1.8,0.3,0.0
마늘,생것,128,26.42,7.45,0.16,0.23
마늘,데친것,135,27.69,8.04,0.13,0.77
마늘,구운것,169,34.6,10.04,0.22,0.02
마늘,말린것,333,73.3,16.3,0.7,0.0
마늘,동결건조,330,73.7,15.3,0.5,0.0
마늘,냉동,131,27.29,7.38,0.07,0.12
마늘,볶은것,165,31.26,9.84,1.35,1.73
마늘 장아찌,-,113,25.36,2.43,0.16,15.03
마늘종,생것,53,13.39,1.86,0.06,5.46
마늘종,데친것,59,14.82,1.98,0.17,2.74
마늘종 장아찌,-,118,27.34,1.96,0.14,13.02
풋마늘,생것,29,7.33,1.9,0.17,4.01
풋마늘,데친것,30,7.28,1.82,0.29,2.31
마타리,생것,45,10.9,2.1,0.1,0.0
머위,생것,17,2.74,2.31,0.14,0.07
머위,데친것,25,4.42,2.17,0.41,0.17
머위,삶은것,28,5.2,2.44,0.44,1.81
머위,말린것,281,58.2,17.4,3.7,0.0
머위,삶아서 말린것,278,48.62,26.73,4.67,1.85
모링가,생것,66,12.43,4.21,1.38,2.15
모시풀,생것,64,11.85,6.61,0.71,0.0
모시풀,삶은것,49,7.24,6.09,1.02,0.0
무,생것,15,4.1,0.5,0.1,2.7
무,데친것,15,3.27,0.53,0.18,1.85
무청,생것,22,2.9,2.3,0.7,0.0
무청,삶은것,23,4.68,1.58,0.27,0.0
무순,생것,20,1.82,1.89,1.01,0.67
무 절임,단무지,12,2.42,0.36,0.05,0.55
무 절임,쌈무,15,3.1,0.54,0.03,1.46
무 절임,치킨무,22,4.89,0.44,0.21,3.54
무말랭이,말린것,318,65.34,13.59,0.3,19.91
무말랭이 무침,-,131,29.24,2.25,0.61,16.75
무국물,-,1,0.3,0.0,0.0,0.0
물냉이,생것,23,3.7,3.5,0.1,0.0
물쑥,생것,36,5.6,5.4,0.3,0.0
물쑥,데친것,47,11.7,1.9,0.1,0.0
미나리,생것,21,3.8,2.2,0.2,0.0
미나리,데친것,19,3.2,2.3,0.2,0.0
미나리,농축,120,33.48,0.36,0.0,28.49
민들레,생것,29,5.48,2.44,0.44,0.0
민들레,데친것,30,5.74,2.18,0.51,0.0
바젤라,생것,11,2.6,0.7,0.2,0.0
바젤라,데친것,12,3.2,0.9,0.2,0.0
바질,생것,32,5.56,2.43,0.71,0.8
바질,데친것,34,5.9,2.81,0.7,0.37
박,생것,21,5.2,0.5,0.1,0.0
박,씨 포함,32,8.0,1.0,0.1,0.0
박고지,말린것,268,69.0,7.6,0.4,0.0
박쥐나무,생것,100,20.7,6.7,1.2,0.0
방가지똥,생것,46,10.3,2.5,0.4,0.0
방울다다기양배추,생것,49,11.17,3.28,0.16,3.55
배암차즈기,생것,25,4.5,1.73,0.62,1.44
배초향,생것,55,11.13,4.87,0.46,1.52
배추,생것,63,5.3,3.4,4.3,0.0
배추,데친것,17,3.9,1.4,0.0,0.0
배추,삶은것,15,3.04,1.16,0.14,1.13
배추,염절임,17,3.62,1.34,0.07,2.08
배추,말린것,278,58.92,14.38,3.89,25.52
백모근,말린것,337,77.0,9.0,2.0,0.0
백합,생것,118,24.91,3.34,1.52,0.44
보리,동결건조,283,51.96,28.3,3.39,2.83
뽕잎,생것,65,12.82,6.28,0.5,2.47
뽕잎,삶은것,48,9.0,4.86,0.53,0.41
뽕잎,삶아서 말린것,279,53.22,26.22,2.98,0.0
부지갱이,생것,30,4.9,3.65,0.43,1.21
부지갱이,데친것,33,4.92,4.0,0.65,0.61
부지갱이,말린것,258,50.0,25.7,2.0,0.0
부지갱이,삶아서 말린것,296,59.07,25.09,2.88,5.2
부지갱이,삶은것,48,8.24,5.17,0.68,0.38
부추,생것,46,11.9,1.2,0.1,0.0
부추,데친것,20,3.6,2.3,0.2,0.0
브로콜리,생것,32,6.32,3.08,0.2,0.79
브로콜리,데친것,28,5.34,2.8,0.31,0.4
브로콜리,삶은것,30,5.2,3.9,0.4,1.2
브로콜리,말린것,258,55.3,15.4,2.8,0.0
브로콜리,삶아서 말린것,271,59.8,17.4,1.8,0.0
브로콜리,가루,284,58.4,17.5,3.9,0.0
비비추,생것,48,10.1,3.0,0.6,0.0
비타민채,생것,14,2.0,2.1,0.2,0.0
비트,생것,26,5.26,1.56,0.14,2.87
비트,데친것,23,4.66,1.28,0.13,2.82
비트 피클,통조림,65,16.28,0.8,0.08,11.05
사탕무,생것,77,18.7,1.8,0.0,0.0
사탕수수,생것,77,20.9,1.1,0.0,0.0
산마늘,생것,36,8.21,2.02,0.21,3.8
산마늘,데친것,37,8.29,2.08,0.31,2.99
산마늘장아찌,-,55,12.2,2.37,0.62,7.83
삼나물,말린것,293,61.3,22.8,2.2,0.0
삼붕냐와,생것,27,3.84,1.62,1.09,0.24
삼채,생것,49,12.15,0.77,0.04,3.21
삼채,데친것,28,5.77,2.04,0.27,0.0
상추,생것,20,3.48,1.88,0.36,1.22
생강,생것,42,9.82,0.97,0.15,0.45
생강,당조림,364,88.35,0.7,0.86,19.9
생강 피클,-,15,3.9,0.3,0.2,0.0
선인장,생것,83,19.35,0.97,0.19,2.53
섬초롱,생것,41,8.5,3.0,0.4,0.0
섬초롱,데친것,34,7.6,2.0,0.2,0.0
셀러리,생것,17,3.95,1.04,0.07,0.0
셀러리,데친것,17,3.81,1.1,0.12,0.0
소리쟁이,말린것,259,52.6,21.7,2.2,0.0
쇠귀나물,생것,128,26.6,6.3,0.1,0.0
쇠귀나물,데친것,129,27.2,6.2,0.1,0.0
수리취,생것,64,14.7,3.9,0.2,0.0
숙주나물,생것,13,2.34,1.73,0.05,0.0
숙주나물,데친것,12,1.4,2.2,0.2,0.0
숙주나물,찐것,16,2.9,1.96,0.11,0.0
순무,생것,27,5.65,1.5,0.09,1.93
순무,데친것,28,6.04,1.32,0.09,2.3
순무,염절임,21,4.9,1.0,0.2,0.0
스테비아,생것,40,8.71,2.4,0.32,0.0
스테비아,말린것,303,70.5,14.2,2.0,0.0
시금치,생것,29,4.86,3.35,0.39,0.4
시금치,데친것,34,5.26,4.02,0.61,0.16
신선초,생것,24,5.66,1.08,0.14,1.95
쌈추,생것,25,4.29,3.07,0.23,0.0
쑥,생것,37,7.04,3.4,0.38,0.0
쑥,데친것,39,6.79,3.71,0.63,0.0
쑥,말린것,272,53.8,25.8,2.05,0.16
쑥갓,생것,15,2.35,1.93,0.17,0.0
쑥갓,데친것,21,3.8,2.1,0.3,0.0
쑥부쟁이,생것,26,3.53,2.92,0.72,0.08
씀바귀,생것,43,9.2,2.9,0.4,0.0
씀바귀,데친것,31,6.3,2.6,0.2,0.0
아스파라거스,생것,17,2.53,2.02,0.34,1.35
아스파라거스,데친것,17,2.81,2.08,0.19,1.24
아스파라거스,통조림,14,3.0,1.1,0.1,0.0
아욱,생것,37,7.64,3.08,0.31,0.0
아욱,데친것,31,5.2,3.52,0.49,0.0
아이비카,말린것,260,43.7,27.7,4.4,0.0
아주까리,말린것,287,48.0,36.8,3.1,0.0
아주까리,생것,82,17.8,5.8,0.5,0.0
아티초크,생것,47,10.51,3.27,0.15,0.99
아티초크,삶은것,53,11.95,2.89,0.34,0.99
아티초크,냉동,38,7.75,2.63,0.43,0.0
알로에,생것,3,0.7,0.1,0.0,0.0
알로에 음료,-,40,11.09,0.0,0.0,9.21
알팔파,생것,21,3.14,3.53,0.2,0.34
양배추,생것,33,7.92,1.68,0.08,4.79
양배추,데친것,32,7.56,1.71,0.12,5.2
양배추,찐것,32,7.41,1.68,0.12,4.24
양배추 샐러드,코울슬로,153,14.89,0.95,9.91,12.19
양파,생것,29,6.67,0.95,0.04,5.74
양파,데친것,29,6.97,0.84,0.04,4.56
양파,말린것,340,78.0,11.7,1.0,0.0
양파링,냉동,258,30.53,3.15,14.1,0.0
양파링,튀긴것,411,43.58,3.86,25.23,5.43
양파 장아찌,-,85,20.99,1.59,0.05,15.24
양하,생것,13,2.8,0.6,0.1,0.0
어수리,생것,31,5.0,4.4,0.3,0.0
음나무,생것,41,5.2,6.94,0.67,0.36
음나무,데친것,37,3.86,7.05,0.75,0.0
엉겅퀴,말린것,267,55.6,22.4,1.6,0.0
엉겅퀴,삶아서 말린것,279,54.2,27.4,2.2,0.0
여주,생것,22,4.48,1.28,0.36,0.36
연근,생것,75,17.28,1.63,0.07,1.81
연근,데친것,62,14.41,1.07,0.08,0.59
연근 조림,-,261,60.2,2.1,1.3,0.0
열대비름,생것,45,6.5,5.8,0.9,0.0
열무,생것,14,1.99,2.08,0.21,0.0
열무,데친것,19,2.95,2.69,0.25,0.0
염교,생것,83,29.3,1.4,0.2,0.0
염교,-,93,21.79,0.52,1.0,18.72
영아자,생것,34,7.7,2.5,0.1,0.0
영아자,데친것,36,7.8,2.5,0.2,0.0
영아자,말린것,278,54.4,23.8,3.1,0.0
오이,생것,13,3.1,0.8,0.0,0.0
오이 피클,-,91,25.07,0.38,0.12,22.69
오이지,염절임,10,2.1,0.63,0.12,1.07
오크라,생것,26,6.6,2.1,0.2,1.9
우엉,생것,69,15.29,2.61,0.06,2.87
우엉,데친것,52,11.34,1.88,0.09,0.69
우엉,장조림,149,34.37,2.1,0.3,17.4
울금,생것,87,15.73,1.79,2.56,3.83
울외장아찌,-,67,13.1,5.1,0.3,0.0
원추리,생것,35,6.48,3.55,0.36,2.51
원추리,데친것,28,5.09,3.22,0.29,1.78
유채,생것,78,6.8,3.4,4.6,0.0
유채,데친것,29,4.15,4.36,0.38,0.49
잇꽃,생것,45,9.0,3.9,0.4,0.0
자운영,생것,40,6.6,4.6,0.6,0.0
잔대,생것,79,18.6,2.1,0.2,0.0
적양무,생것,19,2.54,2.54,0.42,0.22
전호,생것,23,4.2,3.1,0.1,0.0
제비쑥,생것,35,5.0,4.5,0.7,0.0
조뱅이,생것,47,10.1,4.0,0.2,0.0
줄나물,말린것,236,41.9,29.7,1.7,0.0
진달래꽃,생것,26,6.3,1.0,0.1,0.0
질경이,생것,48,10.8,3.0,0.2,0.0
질경이,데친것,45,10.7,2.4,0.1,0.0
참나물,생것,39,7.6,3.5,0.4,0.0
참나물,말린것,309,74.3,5.9,3.5,0.0
참나물,데친것,22,4.54,1.39,0.23,0.0
참반디,말린것,288,65.7,12.6,2.7,0.0
참빗살나무,생것,61,10.3,7.4,0.7,0.0
참죽나물,생것,48,8.59,5.8,0.39,0.78
참죽나물,데친것,46,8.1,5.39,0.51,0.57
참죽나물,말린것,280,57.0,27.9,1.0,0.0
참죽나물,삶아서 말린것,269,44.54,34.44,3.13,6.8
참죽나물,삶은것,52,7.89,7.28,0.74,0.38
청경채,생것,10,1.64,1.41,0.09,0.0
청경채,데친것,11,1.81,1.6,0.13,0.0
초석잠,생것,76,17.0,2.3,0.56,0.17
총각무,생것,22,5.18,1.38,0.07,2.19
취나물,생것,53,11.3,4.2,0.3,0.0
취나물,데친것,35,6.09,3.28,0.64,0.3
취나물,말린것,307,71.1,5.1,4.9,0.0
취나물,삶은것,55,12.3,3.0,0.5,0.0
취나물,삶아서 말린것,299,56.82,26.85,3.67,3.43
치커리,생것,72,17.51,1.4,0.2,8.73
케일,생것,26,4.61,3.11,0.24,0.0
콜라비,생것,22,5.16,1.16,0.05,1.55
