식품명,단백질(g),지방(g),탄수화물(g),당류(g),에너지(kcal)
해장국_뼈다귀,3.19,0.97,1.06,0.63,26
해장국_선지,3.86,0.96,1.23,0,29
동태국,2.42,0.16,1.4,0,17
갈치찌개,5.27,1,1.95,0.98,38
감자탕,6.31,4.06,2.27,0,71
김치전골,3.12,4.23,5.68,0.79,73
김치찌개_꽁치,7.14,5.18,3.54,0.7,89
김치찌개_돼지고기,4.25,2.71,1.04,0.05,45
김치찌개_어묵,1.82,0.59,6.31,1.6,38
김치찌개_참치,3.59,2.82,2.9,0.15,51
김치찌개_햄,1.47,1.39,3.17,0.04,31
꽃게탕,1.86,0.41,1.44,0.95,17
낙지전골,6.5,1.14,3.72,0,51
동태찌개,6.11,1.37,1.72,0.13,44
돼지고기찌개,6.25,1.51,2.26,0.13,48
된장찌개,3.38,1.63,4.44,0,46
된장찌개_냉이,1.17,0.31,2.91,0.55,19
된장찌개_달래,3.18,0.79,3.81,0.41,35
된장찌개_두부,3.25,1.96,2.56,0.99,41
된장찌개_바지락,2.88,0.72,1.18,0.56,23
두부찌개_고추장,4.01,2.63,3.18,0.8,52
두부찌개_소고기_고추장,4.56,1.42,6.73,0.17,58
두부찌개_소고기_된장,5.71,1.98,3.5,0.72,55
매운탕_대구,4.49,0.4,0.19,0,22
매운탕_해물,4.85,0.64,2.51,0.45,35
버섯전골,5.14,4.24,4.78,1.18,78
부대찌개,5.86,6.49,10.27,0.18,123
샤브샤브_버섯,3.88,0.9,1.57,0.53,30
샤브샤브_소고기,5.38,1.62,1.8,1.49,43
소고기전골,7.89,3.24,0.46,0.05,63
순두부찌개_김치,2.98,1.59,2.17,0.32,35
알탕,6.37,0.74,1.74,0,39
오리백숙,10.59,7.5,0.5,0.25,112
오리탕,9.5,6.56,6.08,3.58,121
오징어찌개,3.3,0.22,4.77,0.45,34
청국장찌개,5.03,2.11,1.92,0,47
추어탕,3.24,3.18,3.07,0,54
콩비지찌개,6.74,3.08,3.57,3.25,69
호박찌개_고추장,2.08,0.99,5.96,0.56,41
고구마_찐고구마,1.67,0.24,32.47,16.32,139
가오리찜,21.99,1.39,0.46,0.06,102
갈비찜_소고기,7.25,3.17,6.95,0.75,85
감자_찐감자,2.16,0.16,15.01,0.86,70
깻잎찜,5.21,5.86,5.96,1.33,97
꼬막찜,12.03,2.28,6.97,1.03,96
꽈리고추찜,3.59,2.09,17.69,0.44,104
달걀찜_새우젓,4.98,4.04,0.47,0,58
달걀찜_우유,8.23,6.31,3.8,2.55,105
닭찜,12.37,6.09,0.6,0,107
돼지갈비찜,13.29,12.32,7.44,0.13,194
사태찜_소고기,12.1,5.17,3.67,0.13,110
수육_소고기,28.43,4.94,2.04,0.11,166
순대,2.75,3.64,35.73,1.39,187
아귀찜,6.72,3.13,7.26,2.73,84
애호박찜,9.5,6.48,21.18,1.81,181
옥수수_찐옥수수,6.68,2.42,34.2,2.36,185
족발,26.04,13.91,0.93,0,233
코다리찜,14.49,1.35,6.08,2.5,94
콩나물찜_해물,6.67,1.01,4.97,0,56
풋고추찜,2.31,0.99,8.27,1.44,51
가자미구이,18.7,5.02,0.66,0,123
갈비구이_소고기,25.91,14.55,1.59,0.26,241
갈치구이_기름,21.54,5.48,0.6,0,138
고등어구이_석쇠,23.38,25.69,3.79,0,340
곱창구이_소고기,14.89,11.73,4.71,1.11,184
김구이_조미김,20.4,30.2,29,0.2,470
꼬치구이_닭고기_대파,17.85,14.7,10.35,1.66,245
닭구이,26.21,13.39,7.8,0,257
닭발구이,18.15,9.41,9.7,0.31,196
떡갈비,21.38,11.82,2.46,0.4,202
런천미트구이,17.56,24.38,3.27,1.71,303
뱅어포구이,34.37,15.17,25.07,15.91,374
버섯구이,5.16,1.38,4.78,0.11,52
버섯구이_새송이버섯,4.29,2.21,11.66,4.54,84
버섯구이표고버섯,4.34,1.06,18.14,1.4,100
삼겹살구이,22.56,41.69,0.35,0,467
삼겹살구이_고추장,14.21,32.83,12.63,5.73,403
삼치구이,21.42,9.57,1.45,0.22,178
새우구이,23.41,4.44,2.82,0.03,145
소불고기,16.41,9.66,4.26,3.24,170
스테이크_소등심,30.22,8.07,0.14,0,194
스테이크_소안심,34.82,4.83,0.13,0,183
오리고기구이,24.06,19.7,4.89,0,293
오리불고기,6.75,9.05,9.05,6.29,145
장어구이_고추장,19.82,17.21,6.18,0.44,259
조개구이_키조개,17.43,2.07,10.44,3.6,130
조기구이,19.33,10.86,0.44,0,177
참치구이_머리,26.56,8.98,1.4,0,193
치킨데리야끼,16.54,9.01,15.21,0.11,208
함박스테이크,12.1,10.73,7.19,0.06,174
가지전,5.48,7.28,8.88,0.84,123
감자전,1.72,6.54,16.79,1.81,133
고구마전,2.92,7.98,35.99,14.26,227
김치전,5.05,4.2,19.01,4.21,134
달걀말이,17.21,13.21,1.45,0,193
달걀부침(달걀후라이),15.73,13.78,5.15,0.03,208
달걀부침(달걀후라이)_햄,12.71,21.59,8.06,0,277
두부부침,10.92,9.77,2.07,0.24,140
맛살전,7.48,6.24,19.69,1.14,165
메밀전,4.02,0.64,34.79,0.3,161
버섯전_표고버섯,10.13,9.98,12.74,1.89,181
부추전,4.63,4.17,27.86,8.28,167
산적_돼지고기,29.06,8.56,1.55,0.06,200
스크램블드에그,11.81,17.59,2.56,0.45,216
애호박전,4.35,8.62,6.73,2.32,122
완자전_돼지고기,14.78,5.95,6.51,2.56,139
완자전_소고기,18.73,7.56,4.68,0.2,162
완자전_참치,15,6.49,13.57,3.69,173
완자전_해물,11.46,11.61,18.04,3.41,222
채소전,3.57,4.5,22.59,2.06,145
파전_해물,5.5,8.4,18.29,0.82,171
감자볶음,1.75,4.84,12.41,3.37,100
감자볶음_채소,2.04,5.22,13.1,0.12,108
건새우볶음,41.55,12.95,5.4,4.05,304
곱창볶음_돼지고기,7.23,3,18.52,3.27,130
김치볶음,1.38,7.94,7.27,4.45,106
김치볶음_참치,8.33,6.68,7.12,1.83,122
낙지볶음,5.77,3.77,8.6,7.91,91
닭발볶음,13.8,9.38,11.72,6.37,186
