식품명,단백질(g),지방(g),탄수화물(g),당류(g),에너지(kcal)
"멥쌀떡, 가래떡",3.71,0.37,48.80,0.09,213
"멥쌀떡, 가래떡, 흑미",3.5,0,47.8,-,205
"멥쌀떡, 개피떡(바람떡)",4.3,0.8,45.6,-,207
"멥쌀떡, 개피떡(바람떡), 쑥",4.5,0.8,45.2,-,206
"멥쌀떡, 꿀떡",3.09,1.46,46.14,7.39,210
"멥쌀떡, 무지개떡",3.5,0.3,53.0,-,229
"멥쌀떡, 백설기",3.99,0.52,53.45,9.61,245
"멥쌀떡, 백설기, 검정콩",5.75,1.46,48.31,2.07,229
"멥쌀떡, 송편, 검정콩",6.9,0.8,41.2,-,200
"멥쌀떡, 송편, 팥",5.4,0.4,43.6,-,200
"멥쌀떡, 송편, 깨",5.90,2.74,44.01,6.44,224
"멥쌀떡, 모싯잎송편, 동부",5.65,0.66,40.29,3.18,190
"멥쌀떡, 모싯잎송편, 동부(국내산)",5.28,0.65,40.68,1.59,190
"멥쌀떡, 모싯잎송편, 동부(수입산)",6.03,0.67,39.90,3.18,190
"멥쌀떡, 시루떡, 팥",5.83,0.41,38.94,0.94,183
"멥쌀떡, 절편",3.69,0.49,49.04,0.10,215
"멥쌀떡, 증편",3.02,0.43,44.66,8.74,195
"미숫가루, 혼합곡물",14.52,5.48,76.17,1.06,398
"밀, 도정, 생것",10.6,1.0,75.8,-,333
"밀, 금강밀, 도정, 생것",13.06,1.28,71.70,0,329
"밀, 신미찰밀, 도정, 생것",11.3,1.6,74.2,-,334
"밀, 흑밀, 도정, 생것",12.9,0.9,72.5,-,328
"밀, 통밀, 생것",13.2,1.5,74.6,-,342
"밀, 호라산, 말린것",13.74,1.91,71.16,4.37,334
"밀, 강력밀가루",13.59,1.11,72.89,0,334
"밀, 도넛가루",8.5,6.8,73.9,-,404
"밀, 박력밀가루",9.15,0.94,77.73,0,374
"밀, 부침가루",9.80,0.98,75.52,3.49,368
"밀, 빵가루",11.95,2.05,77.04,4.74,392
"밀, 중력밀가루",10.34,1.01,76.64,0,375
"밀, 통밀가루",11.9,1.6,71.5,-,365
"밀, 튀김가루",7.22,0.80,78.41,0,367
"밀, 팬케이크가루",7.9,4.9,75.9,-,394
"과자, 건빵",9.92,8.67,75.37,16.84,419
"과자, 대추꿀약과",4.5,16.3,65.7,-,428
"과자, 마카로니",11.50,13.96,71.28,0.93,457
"과자, 만주, 밤",6.35,2.39,70.86,42.45,330
"과자, 모나카",3.35,0.29,82.62,36.58,346
"과자, 바닐라 웨하스",4.1,26.9,65.6,-,521
"과자, 비스킷, 소프트",5.70,24.93,60.34,23.46,489
"과자, 비스킷, 하드",6.68,28.58,62.63,9.21,534
"과자, 뻥튀기, 원반 모양, 팽화",11.06,1.07,82.29,1.74,383
"과자, 사과파이",5.50,21.00,64.98,22.83,471
"과자, 스낵, 새우",6.04,22.77,66.32,4.00,494
"과자, 스낵, 옥수수",5.25,26.27,65.73,2.01,520
"과자, 약과",3.8,13.3,71.7,-,422
"과자, 전병",-7.0,-3.2,-84.9,-48.5,390
"과자, 전병, 김",6.7,6.9,82.8,-,420
"과자, 초코볼",4.3,22.5,70.2,-,501
"과자, 초코파이",4.29,15.57,67.59,31.18,428
"과자, 쿠키, 땅콩버터",8.36,20.87,67.97,22.42,493
"과자, 쿠키, 버터",6.37,24.52,66.47,16.45,512
"과자, 쿠키, 초코칩",5.92,20.55,71.38,23.18,494
"과자, 쿠키, 통밀",6.48,17.17,72.73,16.62,471
"과자, 크랙커",7.0,27.8,58.8,-,513
"과자, 크래커, 땅콩샌드",7.66,26.24,64.23,14.64,524
"과자, 크래커, 채소",7.38,22.62,68.26,12.12,506
"과자, 크래커, 치즈샌드",6.08,22.23,68.24,14.69,497
"국수, 생것",7.25,0.87,60.09,7.39,291
"국수, 말린것",10.38,1.24,74.41,2.57,368
"국수, 말린것, 삶은것",3.55,0.44,24.70,0,123
"국수, 소면, 말린것",10.36,1.27,74.88,1.93,370
"국수, 소면, 말린것, 삶은것",3.55,0.48,25.36,0,126
"국수, 중면, 말린것",10.40,1.21,73.94,3.21,366
"국수, 중면, 말린것, 삶은것",3.55,0.40,24.04,0,120
"라면, 말린것",8.23,14.28,69.05,0,445
"라면, 말린것, 삶은것",3.61,4.17,29.65,0,175
"마카로니, 말린것",12.2,0.4,77.1,-,380
"마카로니, 말린것, 삶은것",3.8,0.2,25.8,-,126
"스파게티면, 말린것",11.78,1.28,76.64,1.39,365
"스파게티면, 말린것, 삶은것",3.8,0,26.9,-,129
"우동면, 생것",3.33,1.25,33.09,0,164
"우동면, 생것, 삶은것",2.95,0.46,29.12,0,139
"중국국수면, 생것",8.6,1.2,55.7,1.0,249
"중국국수면, 생것, 삶은것",4.9,0.6,29.2,0.1,133
"중국국수면, 말린것",10.3,5.2,67.1,-0.9,336
"중국국수면, 말린것, 삶은것",5.2,0.6,28.6,-0.1,132
"중국국수면, 증숙, 생것",4.9,1.7,35.6,0.3,162
"쫄면, 말린것",9.16,1.08,71.29,4.50,348
"칼국수면, 생것",7.25,0.87,63.02,0,303
"칼국수면, 생것, 삶은것",3.49,0.43,28.98,0,140
"칼국수면, 반건조",6.4,1.4,57.5,-,281
"빵, 건포도빵",8.2,3.5,51.1,-,263
"빵, 곰보빵",9.50,14.54,61.44,17.01,415
"빵, 꽈배기",7.9,20.4,47.2,-,404
"빵, 난",10.3,3.4,47.6,-,257
"빵, 도넛, 링",7.3,26.0,40.6,-,426
"빵, 도넛, 팥",6.6,15.3,45.7,-,347
"빵, 롤빵, 소프트",10.1,9.0,48.6,6.4,309
"빵, 롤빵, 하드",9.90,4.30,52.70,1.77,293
"빵, 마늘빵",9.8,17.2,57.5,-,424
"빵, 머핀, 우유",6.90,11.40,41.40,-,296
"빵, 머핀, 잉글리쉬",7.70,1.80,46.00,-,235
"빵, 모닝빵",9.06,4.91,58.99,11.33,316
"빵, 모카빵",8.31,7.53,63.29,15.43,354
"빵, 바게트",9.4,1.3,57.5,1.8,289
"빵, 베이글",9.6,2.0,54.6,4.8,270
"빵, 베이글, 달걀",10.60,2.10,53.00,-,278
"빵, 붕어빵, 팥",4.81,6.44,44.12,11.98,254
"빵, 소시지빵",10.59,16.52,33.00,5.05,323
"빵, 식빵",9.01,4.91,49.68,4.12,279
"빵, 식빵, 옥수수",9.44,3.42,50.45,5.32,270
"빵, 식빵, 우유",9.1,6.0,48.7,-,285
"빵, 옥수수빵",7.40,10.20,49.10,-,321
"빵, 와플",7.90,14.10,32.90,-,291
